KxK: 50 maximal facets; cover with 3 domains (SC_strict <= 2)

--- domain 0  (18 facets) ---
  facet   0: (0,0) (0,1) (1,1)
  facet   1: (0,0) (1,0) (1,1)
  facet   7: (0,1) (1,1) (1,2)
  facet   9: (0,1) (1,1) (1,3)
  facet  12: (0,0) (0,2) (2,2)
  facet  13: (0,0) (2,0) (2,2)
  facet  22: (0,0) (0,2) (3,2)
  facet  23: (0,0) (3,0) (3,2)
  facet  24: (0,0) (0,3) (3,3)
  facet  25: (0,0) (3,0) (3,3)
  facet  30: (1,0) (1,1) (2,1)
  facet  36: (1,1) (1,2) (2,2)
  facet  37: (1,1) (2,1) (2,2)
  facet  38: (1,1) (1,3) (2,3)
  facet  39: (1,1) (2,1) (2,3)
  facet  40: (1,0) (1,1) (3,1)
  facet  48: (1,1) (1,3) (3,3)
  facet  49: (1,1) (3,1) (3,3)
--- domain 1  (16 facets) ---
  facet   2: (0,0) (0,2) (1,2)
  facet   3: (0,0) (1,0) (1,2)
  facet   4: (0,0) (0,3) (1,3)
  facet   5: (0,0) (1,0) (1,3)
  facet   8: (0,1) (0,3) (1,3)
  facet  14: (0,0) (0,3) (2,3)
  facet  18: (0,1) (0,3) (2,3)
  facet  19: (0,1) (2,1) (2,3)
  facet  32: (1,0) (1,2) (2,2)
  facet  33: (1,0) (2,0) (2,2)
  facet  41: (1,0) (3,0) (3,1)
  facet  42: (1,0) (1,2) (3,2)
  facet  43: (1,0) (3,0) (3,2)
  facet  44: (1,0) (1,3) (3,3)
  facet  45: (1,0) (3,0) (3,3)
  facet  46: (1,1) (1,2) (3,2)
--- domain 2  (16 facets) ---
  facet   6: (0,1) (0,2) (1,2)
  facet  10: (0,0) (0,1) (2,1)
  facet  11: (0,0) (2,0) (2,1)
  facet  15: (0,0) (2,0) (2,3)
  facet  16: (0,1) (0,2) (2,2)
  facet  17: (0,1) (2,1) (2,2)
  facet  20: (0,0) (0,1) (3,1)
  facet  21: (0,0) (3,0) (3,1)
  facet  26: (0,1) (0,2) (3,2)
  facet  27: (0,1) (3,1) (3,2)
  facet  28: (0,1) (0,3) (3,3)
  facet  29: (0,1) (3,1) (3,3)
  facet  31: (1,0) (2,0) (2,1)
  facet  34: (1,0) (1,3) (2,3)
  facet  35: (1,0) (2,0) (2,3)
  facet  47: (1,1) (3,1) (3,2)
