KxK: 18 maximal facets; cover with 3 domains (SC_strict <= 2)

--- domain 0  (8 facets) ---
  facet   0: (0,0) (0,1) (1,1)
  facet   1: (0,0) (1,0) (1,1)
  facet   2: (0,0) (0,2) (1,2)
  facet   3: (0,0) (1,0) (1,2)
  facet   6: (0,0) (0,1) (2,1)
  facet   7: (0,0) (2,0) (2,1)
  facet   8: (0,0) (0,2) (2,2)
  facet   9: (0,0) (2,0) (2,2)
--- domain 1  (6 facets) ---
  facet   4: (0,1) (0,2) (1,2)
  facet   5: (0,1) (1,1) (1,2)
  facet  12: (1,0) (1,1) (2,1)
  facet  13: (1,0) (2,0) (2,1)
  facet  16: (1,1) (1,2) (2,2)
  facet  17: (1,1) (2,1) (2,2)
--- domain 2  (4 facets) ---
  facet  10: (0,1) (0,2) (2,2)
  facet  11: (0,1) (2,1) (2,2)
  facet  14: (1,0) (1,2) (2,2)
  facet  15: (1,0) (2,0) (2,2)
